# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=0 Y0=0 Z0=0 nX=1 nY=1 nZ=246 dX=1 dY=1 dZ=5
data
0.0 0.0 545.0 6.49969 -0.0405393 0
0.0 0.0 550.0 6.49991 -0.0285073 0
0.0 0.0 555.0 6.49998 -0.019253 0
0.0 0.0 560.0 6.5 -0.0124341 0
0.0 0.0 565.0 6.5 -0.00764326 0
0.0 0.0 570.0 6.5 -0.00444961 0
0.0 0.0 575.0 6.5 -0.00244017 0
0.0 0.0 580.0 6.5 -0.0012534 0
0.0 0.0 585.0 6.5 -0.00059935 0
0.0 0.0 590.0 6.5 -3.9801e-16 0
0.0 0.0 595.0 6.5 -3.9801e-16 0
0.0 0.0 600.0 6.5 -3.9801e-16 0
0.0 0.0 605.0 6.5 -3.9801e-16 0
0.0 0.0 610.0 6.49998 -3.98009e-16 0
0.0 0.0 615.0 6.49991 -3.98005e-16 0
0.0 0.0 620.0 6.49969 -3.97991e-16 0
0.0 0.0 625.0 6.49904 -3.97951e-16 0
0.0 0.0 630.0 6.49732 -3.97846e-16 0
0.0 0.0 635.0 6.49324 -3.97596e-16 0
0.0 0.0 640.0 6.48441 -3.97056e-16 0
0.0 0.0 645.0 6.46695 -3.95986e-16 0
0.0 0.0 650.0 6.43514 -3.94038e-16 0
0.0 0.0 655.0 6.38159 -3.9076e-16 0
0.0 0.0 660.0 6.298 -3.85641e-16 0
0.0 0.0 665.0 6.17656 -3.78205e-16 0
0.0 0.0 670.0 6.01194 -3.68125e-16 0
0.0 0.0 675.0 5.80305 -3.55335e-16 0
0.0 0.0 680.0 5.5539 -3.40079e-16 0
0.0 0.0 685.0 5.27315 -3.22887e-16 0
0.0 0.0 690.0 4.97238 -3.0447e-16 0
0.0 0.0 695.0 4.66391 -2.85582e-16 0
0.0 0.0 700.0 4.35879 -2.66899e-16 0
0.0 0.0 705.0 4.06558 -2.48945e-16 0
0.0 0.0 710.0 3.78993 -2.32066e-16 0
0.0 0.0 715.0 3.53487 -2.16448e-16 0
0.0 0.0 720.0 3.30132 -2.02147e-16 0
0.0 0.0 725.0 3.08872 -1.8913e-16 0
0.0 0.0 730.0 2.89562 -1.77306e-16 0
0.0 0.0 735.0 2.72008 -1.66557e-16 0
0.0 0.0 740.0 2.55999 -1.56754e-16 0
0.0 0.0 745.0 2.41329 -1.47772e-16 0
0.0 0.0 750.0 2.27806 -1.39491e-16 0
0.0 0.0 755.0 2.15257 -1.31807e-16 0
0.0 0.0 760.0 2.03535 -1.24629e-16 0
0.0 0.0 765.0 1.92517 -1.17883e-16 0
0.0 0.0 770.0 1.821 -1.11504e-16 0
0.0 0.0 775.0 1.72204 -1.05445e-16 0
0.0 0.0 780.0 1.62765 -9.96646e-17 0
0.0 0.0 785.0 1.53734 -9.41348e-17 0
0.0 0.0 790.0 1.45076 -8.88332e-17 0
0.0 0.0 795.0 1.36764 -8.37438e-17 0
0.0 0.0 800.0 1.2878 -7.88552e-17 0
0.0 0.0 805.0 1.21111 -7.41594e-17 0
0.0 0.0 810.0 1.13748 -6.96504e-17 0
0.0 0.0 815.0 1.06681 -6.53235e-17 0
0.0 0.0 820.0 0.99905 -6.11741e-17 0
0.0 0.0 825.0 0.93411 -5.71977e-17 0
0.0 0.0 830.0 0.871909 -5.3389e-17 0
0.0 0.0 835.0 0.812344 -4.97417e-17 0
0.0 0.0 840.0 0.755301 -4.62489e-17 0
0.0 0.0 845.0 0 0 0
0.0 0.0 850.0 0 0 0
0.0 0.0 855.0 0 0 0
0.0 0.0 860.0 0 0 0
0.0 0.0 865.0 0 0 0
0.0 0.0 870.0 0 0 0
0.0 0.0 875.0 0 0 0
0.0 0.0 880.0 0 0 0
0.0 0.0 885.0 0 0 0
0.0 0.0 890.0 0 0 0
0.0 0.0 895.0 0 0 0
0.0 0.0 900.0 0 0 0
0.0 0.0 905.0 0 0 0
0.0 0.0 910.0 0 0 0
0.0 0.0 915.0 0 0 0
0.0 0.0 920.0 0 0 0
0.0 0.0 925.0 0 0 0
0.0 0.0 930.0 0 0 0
0.0 0.0 935.0 0 0 0
0.0 0.0 940.0 0 0 0
0.0 0.0 945.0 0 0 0
0.0 0.0 950.0 0 0 0
0.0 0.0 955.0 0 0 0
0.0 0.0 960.0 0 0 0
0.0 0.0 965.0 0 0 0
0.0 0.0 970.0 0 0 0
0.0 0.0 975.0 0 0 0
0.0 0.0 980.0 0 0 0
0.0 0.0 985.0 0 0 0
0.0 0.0 990.0 0 0 0
0.0 0.0 995.0 0 0 0
0.0 0.0 1000.0 0 0 0
0.0 0.0 1005.0 0 0 0
0.0 0.0 1010.0 0 0 0
0.0 0.0 1015.0 0 0 0
0.0 0.0 1020.0 0 0 0
0.0 0.0 1025.0 0 0 0
0.0 0.0 1030.0 0 0 0
0.0 0.0 1035.0 0 0 0
0.0 0.0 1040.0 0 0 0
0.0 0.0 1045.0 0 0 0
0.0 0.0 1050.0 0 0 0
0.0 0.0 1055.0 0 0 0
0.0 0.0 1060.0 0 0 0
0.0 0.0 1065.0 0 0 0
0.0 0.0 1070.0 0 0 0
0.0 0.0 1075.0 0 0 0
0.0 0.0 1080.0 0 0 0
0.0 0.0 1085.0 0 0 0
0.0 0.0 1090.0 0 0 0
0.0 0.0 1095.0 0 0 0
0.0 0.0 1100.0 0 0 0
0.0 0.0 1105.0 0 0 0
0.0 0.0 1110.0 0 0 0
0.0 0.0 1115.0 0 0 0
0.0 0.0 1120.0 0 0 0
0.0 0.0 1125.0 0 0 0
0.0 0.0 1130.0 0 0 0
0.0 0.0 1135.0 0 0 0
0.0 0.0 1140.0 0 0 0
0.0 0.0 1145.0 0 0 0
0.0 0.0 1150.0 0 0 0
0.0 0.0 1155.0 0 0 0
0.0 0.0 1160.0 0 0 0
0.0 0.0 1165.0 0 0 0
0.0 0.0 1170.0 0 0 0
0.0 0.0 1175.0 0 0 0
0.0 0.0 1180.0 0 0 0
0.0 0.0 1185.0 0 0 0
