# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=2 Y0=0 Z0=0 nX=1 nY=1 nZ=290 dX=1 dY=1 dZ=5
data
2.0 0.0 385.0 0 -0.011055 0
2.0 0.0 390.0 0 -0.0095458 0
2.0 0.0 395.0 0 -0.008123 0
2.0 0.0 400.0 0 -0.00678218 0
2.0 0.0 405.0 0 -0.00552551 0
2.0 0.0 410.0 0 -0.00436289 0
2.0 0.0 415.0 0 -0.00331146 0
2.0 0.0 420.0 0 -0.00239272 0
2.0 0.0 425.0 0 -0.00162738 0
2.0 0.0 430.0 0 -0.00102842 0
2.0 0.0 435.0 0 -0.000595032 0
2.0 0.0 440.0 0 -0.000310009 0
2.0 0.0 445.0 0 -0.000142748 0
2.0 0.0 450.0 0 -5.68935e-05 0
2.0 0.0 455.0 0 -1.91749e-05 0
2.0 0.0 460.0 0 -5.32526e-06 0
2.0 0.0 465.0 0 0 0
2.0 0.0 470.0 0 0 0
2.0 0.0 475.0 0 0 0
2.0 0.0 480.0 0 0 0
2.0 0.0 485.0 0 0 0
2.0 0.0 490.0 0 0 0
2.0 0.0 495.0 0 0 0
2.0 0.0 500.0 0 0 0
2.0 0.0 505.0 0 0 0
2.0 0.0 510.0 0 0 0
2.0 0.0 515.0 0 0 0
2.0 0.0 520.0 0 0 0
2.0 0.0 525.0 0 0 0
2.0 0.0 530.0 0 0 0
2.0 0.0 535.0 0 0 0
2.0 0.0 540.0 0 0 0
2.0 0.0 545.0 0 0 0
2.0 0.0 550.0 0 0 0
2.0 0.0 555.0 0 0 0
2.0 0.0 560.0 0 0 0
2.0 0.0 565.0 0 0 0
2.0 0.0 570.0 0 0 0
2.0 0.0 575.0 0 0 0
2.0 0.0 580.0 0 0 0
2.0 0.0 585.0 0 0 0
2.0 0.0 590.0 0 0 0
2.0 0.0 595.0 0 0 0
2.0 0.0 600.0 0 0 0
2.0 0.0 605.0 0 0 0
2.0 0.0 610.0 0 0 0
2.0 0.0 615.0 0 0 0
2.0 0.0 620.0 0 0 0
2.0 0.0 625.0 0 0 0
2.0 0.0 630.0 0 0 0
2.0 0.0 635.0 0 0 0
2.0 0.0 640.0 0 0 0
2.0 0.0 645.0 0 0 0
2.0 0.0 650.0 0 0 0
2.0 0.0 655.0 0 0 0
2.0 0.0 660.0 0 0 0
2.0 0.0 665.0 0 0 0
2.0 0.0 670.0 0 0 0
2.0 0.0 675.0 0 0 0
2.0 0.0 680.0 0 0 0
2.0 0.0 685.0 0 0 0
2.0 0.0 690.0 0 0 0
2.0 0.0 695.0 0 -1.4272e-05 0
2.0 0.0 700.0 0 -3.81225e-05 0
2.0 0.0 705.0 0 -8.94461e-05 0
2.0 0.0 710.0 0 -0.000187405 0
2.0 0.0 715.0 0 -0.00035613 0
2.0 0.0 720.0 0 -0.000622961 0
2.0 0.0 725.0 0 -0.00101728 0
2.0 0.0 730.0 0 -0.00157168 0
2.0 0.0 735.0 0 -0.0023268 0
2.0 0.0 740.0 0 -0.00334073 0
2.0 0.0 745.0 0 -0.00470391 0
2.0 0.0 750.0 0 -0.00656097 0
2.0 0.0 755.0 0 -0.00914154 0
2.0 0.0 760.0 0 -0.0127988 0
2.0 0.0 765.0 0 -0.0180397 0
2.0 0.0 770.0 0 -0.0254848 0
2.0 0.0 775.0 0 -0.0356121 0
2.0 0.0 780.0 0 -0.0481365 0
2.0 0.0 785.0 0 -0.0613553 0
2.0 0.0 790.0 0 -0.0726208 0
2.0 0.0 795.0 0 -0.0801835 0
2.0 0.0 800.0 0 -0.0842251 0
2.0 0.0 805.0 0 -0.0859926 0
2.0 0.0 810.0 0 -0.0866399 0
2.0 0.0 815.0 0 -0.0865924 0
2.0 0.0 820.0 0 -0.0858507 0
2.0 0.0 825.0 0 -0.0838685 0
2.0 0.0 830.0 0 -0.0794424 0
2.0 0.0 835.0 0 -0.0713844 0
2.0 0.0 840.0 0 -0.0597389 0
2.0 0.0 845.0 0 -0.0464687 0
2.0 0.0 850.0 0 -0.0341893 0
2.0 0.0 855.0 0 -0.0244142 0
2.0 0.0 860.0 0 -0.0172881 0
2.0 0.0 865.0 0 -0.0122887 0
2.0 0.0 870.0 0 -0.00880235 0
2.0 0.0 875.0 0 -0.00634206 0
2.0 0.0 880.0 0 -0.00457271 0
2.0 0.0 885.0 0 -0.00327764 0
2.0 0.0 890.0 0 -0.00232073 0
2.0 0.0 895.0 0 -0.00161675 0
2.0 0.0 900.0 0 -0.00111056 0
2.0 0.0 905.0 0 -0.000762911 0
2.0 0.0 910.0 0 -0.000541748 0
2.0 0.0 915.0 0 -0.00041783 0
2.0 0.0 920.0 0 -0.000363994 0
2.0 0.0 925.0 0 -0.000356488 0
2.0 0.0 930.0 0 -0.000376708 0
2.0 0.0 935.0 0 -0.00040799 0
2.0 0.0 940.0 0 -0.000453685 0
2.0 0.0 945.0 0 -0.000501174 0
2.0 0.0 950.0 0 -0.000550334 0
2.0 0.0 955.0 0 -0.000601061 0
2.0 0.0 960.0 0 -0.00065328 0
2.0 0.0 965.0 0 -0.000706939 0
2.0 0.0 970.0 0 -0.000762012 0
2.0 0.0 975.0 0 -0.000818495 0
2.0 0.0 980.0 0 -0.000876407 0
2.0 0.0 985.0 0 -0.000935787 0
2.0 0.0 990.0 0 -0.000996689 0
2.0 0.0 995.0 0 -0.00105918 0
2.0 0.0 1000.0 0 -0.00112334 0
2.0 0.0 1005.0 0 -0.00118926 0
2.0 0.0 1010.0 0 -0.00125703 0
2.0 0.0 1015.0 0 -0.00132674 0
2.0 0.0 1020.0 0 -0.00139849 0
2.0 0.0 1025.0 0 -0.00147237 0
2.0 0.0 1030.0 0 -0.00154847 0
2.0 0.0 1035.0 0 -0.00162687 0
2.0 0.0 1040.0 0 -0.00170766 0
2.0 0.0 1045.0 0 -0.0017909 0
2.0 0.0 1050.0 0 -0.00187666 0
2.0 0.0 1055.0 0 -0.00196499 0
2.0 0.0 1060.0 0 -0.00205595 0
2.0 0.0 1065.0 0 -0.00214958 0
2.0 0.0 1070.0 0 -0.00224594 0
2.0 0.0 1075.0 0 -0.00234507 0
2.0 0.0 1080.0 0 -0.00244701 0
2.0 0.0 1085.0 0 -0.00255183 0
2.0 0.0 1090.0 0 -0.0026596 0
2.0 0.0 1095.0 0 -0.00277041 0
2.0 0.0 1100.0 0 -0.00288436 0
2.0 0.0 1105.0 0 -0.00300162 0
2.0 0.0 1110.0 0 -0.00312235 0
2.0 0.0 1115.0 0 -0.00324678 0
2.0 0.0 1120.0 0 -0.00337519 0
2.0 0.0 1125.0 0 -0.00350793 0
2.0 0.0 1130.0 0 -0.00364539 0
2.0 0.0 1135.0 0 -0.00378808 0
2.0 0.0 1140.0 0 -0.00393654 0
2.0 0.0 1145.0 0 -0.00409146 0
2.0 0.0 1150.0 0 -0.0042536 0
2.0 0.0 1155.0 0 -0.00442381 0
2.0 0.0 1160.0 0 -0.00460307 0
2.0 0.0 1165.0 0 -0.00479245 0
2.0 0.0 1170.0 0 -0.00499314 0
2.0 0.0 1175.0 0 -0.00520638 0
2.0 0.0 1180.0 0 -0.00543351 0
2.0 0.0 1185.0 0 -0.00567588 0
2.0 0.0 1190.0 0 -0.00593482 0
2.0 0.0 1195.0 0 -0.00593558 0
2.0 0.0 1200.0 0 -0.00567659 0
2.0 0.0 1205.0 0 -0.00543418 0
2.0 0.0 1210.0 0 -0.00520701 0
2.0 0.0 1215.0 0 -0.00499372 0
